what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1302898149008
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1302898149008
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1302898149008
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1302898149008
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1302898149008
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1302898149008
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1302898149023
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1302898149023
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1302898149023
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1302898149023
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1302898149023
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1302898149023
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1302898149023
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1302898149023
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1302898149023
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1302898149055
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1302898149055
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1302898149055
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1302898149070
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1302898149070
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1302898149070
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1302898149070
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1302898149086
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1302898149086
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1302898149086
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1302898149086
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1302898149086
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1302898149101
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1302898149101
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1302898149101
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1302898149133
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1302898149133
started,bundle,org.eclipse.cdt.codan.core,1.0.0.201009241320,"org.eclipse.cdt.codan.core",1302898149133
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201009241320,"org.eclipse.cdt.codan.core.cxx",1302898149148
started,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201009241320,"org.eclipse.cdt.codan.ui.cxx",1302898149148
started,bundle,org.eclipse.cdt.core,5.2.1.201009241320,"org.eclipse.cdt.core",1302898149164
started,bundle,org.eclipse.cdt.core.tests,5.2.1.201009241320,"org.eclipse.cdt.core.tests",1302898149211
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009241320,"org.eclipse.cdt.make.core",1302898149211
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009241320,"org.eclipse.cdt.make.ui",1302898149211
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009241320,"org.eclipse.cdt.managedbuilder.core",1302898149211
started,bundle,org.eclipse.cdt.scripting,1.0.0.201009241320,"org.eclipse.cdt.scripting",1302898149211
started,bundle,org.eclipse.cdt.ui,5.2.1.201009241320,"org.eclipse.cdt.ui",1302898149226
started,bundle,org.eclipse.cdt.ui.tests,5.1.0.201009241320,"org.eclipse.cdt.ui.tests",1302898149289
os,sysinfo,,,"win32",1302898149289
arch,sysinfo,,,"x86_64",1302898149289
ws,sysinfo,,,"win32",1302898149289
locale,sysinfo,,,"en_US",1302898149289
processors,sysinfo,,,"4",1302898149289
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1302898149289
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1302898149289
java.specification.name,sysinfo,,,"Java Platform API Specification",1302898149289
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302898149289
java.specification.version,sysinfo,,,"1.6",1302898149289
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1302898149289
java.version,sysinfo,,,"1.6.0_22",1302898149289
java.vm.info,sysinfo,,,"mixed mode",1302898149289
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1302898149289
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1302898149289
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302898149289
java.vm.specification.version,sysinfo,,,"1.0",1302898149289
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1302898149289
java.vm.version,sysinfo,,,"17.1-b03",1302898149289
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302898149351
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302898149398
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1302898149429
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302898154821
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302898156615
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1302898156631
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302898160156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302898177815
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1302898177831
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302898178939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302898180405
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302898180561
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1302898181091
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1302898181372
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1302898181372
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1302898181372
